GMI_CNTRY,POPIO_NAME,POINT_X,POINT_Y,CONTINENT,POPIO_NAME_ES
COM,Comoros,43.34126156680,-11.66579428950,Africa,Comores
COG,Congo,15.22429399960,-0.84023182658,Africa,Congo
CRI,Costa Rica,-84.18794117580,9.97020286268,North America,Costa Rica
CIV,Cote-d-Ivoire,-5.55572929335,7.63164772815,Africa,Costa de Marfil
HRV,Croatia,16.46489574350,43.78072479830,Europe,Croacia
CUB,Cuba,-79.54209094720,22.09890726560,North America,Cuba
CYP,Cyprus,33.22176047500,35.04588005780,Europe,Chipre
CZE,Czech Republic,15.33841230370,49.74285914650,Europe,Repœblica Checa
PRK,Dem Peoples Rep of Korea,127.18195665100,40.14306304120,Asia,Corea del Norte
ZAR,Dem Rep of Congo,23.65500570540,-2.87623474498,Africa,Rep Dem del Congo
DNK,Denmark,9.31712817961,56.03646065490,Europe,Dinamarca
DJI,Djibouti,42.17499291300,11.57333953090,Africa,Djibouti
DOM,Dominican Republic,-70.48960674710,18.89650357150,North America,Repœblica Dominicana
ECU,Ecuador,-78.38611425680,-1.44863859090,South America,Ecuador
SLV,El Salvador,-88.86651153570,13.73689680310,North America,El Salvador
GNQ,Equatorial Guinea,10.47603886780,1.56803418420,Africa,Guinea Ecuatorial
ERI,Eritrea,38.11280721180,16.10854160310,Africa,Eritrea
EST,Estonia,25.83249949950,58.68896637180,Europe,Estonia
ETH,Ethiopia,39.61603213710,8.62621923146,Africa,Etiop’a
FSM,Federated States of Micronesia,158.22918994400,6.87894481293,Oceania,Micronesia
FJI,Fiji,177.97362791400,-17.82524844660,Oceania,Fiji
FIN,Finland,26.29107153250,64.51903468530,Europe,Finlandia
FRA,France,2.45601382838,46.63119131540,Europe,Francia
GUF,French Guiana,-53.24122363140,3.92468841889,South America,Guayana Francesa
PYF,French Polynesia,-149.41767913400,-17.66649192030,Oceania,Polinesia Francesa
MKD,FYR Macedonia,21.69747631520,41.59968292060,Europe,Macedonia
GAB,Gabon,11.79880558490,-0.59089201831,Africa,Gab—n
GEO,Georgia,43.35689080110,42.05325101110,Asia,Georgia
DEU,Germany,10.38083867890,51.09069941670,Europe,Alemania
GHA,Ghana,-1.20730122288,7.95984793046,Africa,Ghana
GRC,Greece,22.58872065360,39.47755320580,Europe,Grecia
